Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Save""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:55,2022-05-30 17:51:55,0.268s,PASSED
"verifyElementText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Selected card""), fullname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:55,2022-05-30 17:52:01,5.938s,PASSED
"verifyOptionSelectedByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true, 10)",Chrome 101.0.4951.64,,,2022-05-30 17:52:01,2022-05-30 17:52:02,0.923s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), ""value"", firstname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:52:02,2022-05-30 17:52:02,0.233s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), ""value"", lastname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:52:02,2022-05-30 17:52:03,0.234s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Delete User""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:52:03,2022-05-30 17:52:04,0.982s,PASSED
closeBrowser(),Chrome 101.0.4951.64,,,2022-05-30 17:52:04,2022-05-30 17:52:04,0.070s,PASSED
,,,,,,,
Test Cases/Olivia_Dynamic/Users Feed/TC001 - Add new user with any role,Chrome 101.0.4951.64,,,2022-05-30 17:52:04,2022-05-30 17:52:34,30.603s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Login""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:52:04,2022-05-30 17:52:09,5.296s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Menu""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:09,2022-05-30 17:52:13,3.716s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/i_Menu_icon icon-settings""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:13,2022-05-30 17:52:14,0.863s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Users""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:14,2022-05-30 17:52:17,2.968s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/i_Users_icon-plus""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:17,2022-05-30 17:52:19,2.248s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Full User""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:19,2022-05-30 17:52:19,0.653s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Continue""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:19,2022-05-30 17:52:20,0.259s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true)",Chrome 101.0.4951.64,,,2022-05-30 17:52:20,2022-05-30 17:52:22,2.069s,PASSED
"if (waitForElementVisible(findTestObject(""Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Job title_job_title""), 3))",Chrome 101.0.4951.64,,,2022-05-30 17:52:22,2022-05-30 17:52:23,1.077s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), firstname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:23,2022-05-30 17:52:23,0.487s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), lastname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:23,2022-05-30 17:52:24,0.478s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Email_email""), email)",Chrome 101.0.4951.64,,,2022-05-30 17:52:24,2022-05-30 17:52:24,0.508s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Select a country  United States  Can_7bdac2""), country, true)",Chrome 101.0.4951.64,,,2022-05-30 17:52:24,2022-05-30 17:52:26,1.448s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Save""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:26,2022-05-30 17:52:26,0.264s,PASSED
"verifyElementText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Selected card""), fullname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:26,2022-05-30 17:52:32,5.824s,PASSED
"verifyOptionSelectedByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true, 10)",Chrome 101.0.4951.64,,,2022-05-30 17:52:32,2022-05-30 17:52:33,0.920s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), ""value"", firstname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:52:33,2022-05-30 17:52:33,0.231s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), ""value"", lastname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:52:33,2022-05-30 17:52:33,0.235s,PASSED
